Company Name,Website,Location,City,State/Province,Country,Booth,Hall,Description
Booz Allen Hamilton,https://www.boozallen.com/,"McLean, VA, United States",McLean,VA,United States,1919,Hall ABC,"Booz Allen is the advanced technology company delivering outcomes with speed for America’s most critical defense, civil, and national security priorities. We build technology solutions using AI, cyber, and other cutting-edge technologies to advance and protect the nation and its citizens."
Boresight USA,https://www.boresightuas.com,"Oliver Price, VP, USA",Oliver Price,VP,USA,525,Hall ABC,"Boresight delivers advanced UAS threat emulation for C-sUAS training and red-teaming, using cost-effective, purpose-built aerial target platforms and a swarming-capable Ground Control Station. Our customer-operated swarming technology offers world-leading, realistic C-sUAS threat emulation training."
BOSTON DYNAMICS,https://bostondynamics.com/,"Contact Info, JP, USA",Contact Info,JP,USA,961,Hall ABC,"Boston Dynamics’ mission is to imagine and create exceptional robots that enrich people’s lives. We see this work as the next step in the evolution of machines that reduce the danger, repetition, and physically difficult aspects of work."
Brassets Group,https://www.brassetsgroup.com/security-services/,"Archerfield, MI, United States",Archerfield,MI,United States,525,Hall ABC,"Brassets Group specialise in integrated, intelligent threat detection systems for the protection of critical infrastructure, assets and people through perimeter security and domain awareness. With have a proven track record of delivering layered technology strategy, design, engineering and implementation of specialist security technology solutions in military domains."
Breaker,https://www.breakerindustries.com,"Austin, TX, United States",Austin,TX,United States,525,Hall ABC,"Breaker's V2 Agent transforms robots into human-like teammates by combining specialized AI models into edge-deployed software. A single operator controls multiple autonomous systems using natural language via existing radios. Features include advanced teaming, robust decision-making, and two-way communication, creating an intuitive interface for truly autonomous systems across any platform."
Bren-Tronics,https://www.bren-tronics.com,"Commack, NY, United States",Commack,NY,United States,2049,Hall ABC,"For 50+ years, Bren-Tronics has pioneered ruggedized battery/charging solutions to meet the demanding military needs. Through innovative engineering, rigorous quality standards, and advanced manufacturing, we deliver mission-critical power where failure isn’t an option. Part of EnerSys, the global leader in stored energy solutions, we proudly continue our legacy of support."
C.E. Niehoff & Co.,https://www.ceniehoff.com,"Evanston, IL, United States",Evanston,IL,United States,2003,Hall ABC,"Founded in 1923, we are an employee-owned U.S. manufacturer of high-output alternators and power management devices. Designed and engineered in our Evanston, IL facility, our custom solutions support the most demanding applications. With 400+ skilled employees, we deliver innovation, quality, and reliability—setting the performance standard across industries worldwide."
Callington,https://www.callington.com,USA,,,USA,525,Hall ABC,
Carahsoft,https://www.carahsoft.com,"Reston, VA, United States",Reston,VA,United States,1767,Hall ABC,"Carahsoft Technology Corp. is The Trusted Government IT Solutions Provider®, supporting Federal, State and Local Government and Education and Healthcare. As the Master Government Aggregator® for our vendor and reseller partners, we deliver solutions for Cybersecurity, MultiCloud, DevSecOps, Big Data, Artificial Intelligence, Open Source, Customer Experience and Engagement, and more."
Carmenta Inc.,https://www.carmenta.com,"Arlington, VA, United States",Arlington,VA,United States,4120,Hall ABC,
Carnegie Mellon University Software Engineering Institute,https://www.sei.cmu.edu,"Pittsburgh, PA, United States",Pittsburgh,PA,United States,2109,Hall ABC,"Innovation that supports our warfighters with research that advances software as a strategic advantage for national security since 1984. The Software Engineering Institute at Carnegie Mellon University, a Federally Funded Research and Development Center (FFRDC), conducts technical research that connects artificial intelligence, cybersecurity, and software strategies for maximum impact."
Caterpillar Inc.,https://www.cat.com/defense,"Irving, TX, United States",Irving,TX,United States,2205,Hall ABC,"Caterpillar Defense’s best-in-class design, engineering and manufacturing capabilities produce a broad range of products for military forces and other government entities. For clean, reliable power, choose from our broad product lineup. We offer engines for marine and land applications, power generation for wide-ranging applications, custom-modified groundbreaking equipment."
CDC Data Centres,https://CDC.com,USA,,,USA,525,Hall ABC,CDC Data Centres is Australia's largest privately owned sovereign data centre company specializing in building and operating highly secure (Zone 4 and 5 SCIF) data centres. CDC Data Centres has 18 years of experience and is the home of AI and liquid cooled computers within Australia.
CEA Technologies Ptd Limited,https://www.cea.com.au,Australia,,,Australia,525,Hall ABC,"CEA is a private, vertically integrated Australian company, designing, developing, manufacturing and sustaining technically superior phased array radar products. CEA has facilities Australia-wide and a US Office (CEATI) based in Massachusetts. The company's capabilities include electronic, software, mechanical & system design, development, manufacturing, integration, test and sustainment."
CEIA USA,https://www.ceia.net/groundsearch/index.aspx,"CE, United States",,CE,United States,4133,Hall ABC,"CEIA Ground Search Metal Detectors provide overall superior performance in the areas of detection distance, soil compensation capability, and immunity to external interference. CEIA USA provides nationwide sales, service, and customer support to customers in North America. Dynamic solutions are the foundation of CEIA USA's commitment to customer satisfaction."
Celestica,https://www.celestica.com,"Maple Grove, MN, United States",Maple Grove,MN,United States,3943,Hall ABC,"Celestica is a leader in electronics manufacturing services for the aerospace & defense industry. Providing product lifecycle solutions, we drive innovation in the design, engineering, manufacture and after-sales support of mission-critical applications in the air, on land, at sea and in space - enabling rugged, reliable hardware and integrated solutions."
"Chenega Corporation, MIOS SBU",https://chenegamios.com,"Lorton, VA, United States",Lorton,VA,United States,539,Hall ABC,"Chenega Corporation's Military, Intelligence, and Operations Support (MIOS) Strategic Business Unit (SBU) offers a diverse range of capabilities that strengthen U.S. Army mission operations. With over 15 years of expertise, Chenega MIOS utilizes the latest breakthrough solutions in information technology, logistics, cybersecurity, training, and more to deliver mission-driven results."
Cherokee Federal,https://cherokee-federal.com,"Tulsa, OK, United States",Tulsa,OK,United States,6152,Hall DE,"Cherokee Federal, a division of Cherokee Nation Businesses, is a team of trusted government contracting professionals capable of building innovative solutions to solve complex problems. We operate globally, addressing issues in immigration, national security and intelligence, cybersecurity, health care, logistics, construction management, engineering, and manufacturing."
Choctaw Defense,https://www.choctawdefense.com,"McAlester, OK, United States",McAlester,OK,United States,655,Hall ABC,"Choctaw Defense Manufacturing (CDM) is an 8(a) and HUBZone certified machining and fabrication facility with over 300,000 sq. ft. of capacity. For over 30 years CDM has provided the U.S. Army, DLA, NAVSUP, Warner Robins AFB and numerous Prime contractors with high-quality parts and assemblies for military and commercial applications."
Cinch Connectivity Solutions,https://cinch.com,"Lombard, IL, United States",Lombard,IL,United States,8109,Hall DE,"Cinch is a leading provider of high-quality interconnect products and custom solutions engineered to meet the harsh environment demands of markets including Aerospace, Defense, 5G/IoT, and Industrial."
Clear Align,https://www.clearalign.com,"Eagleville, PA, United States",Eagleville,PA,United States,640,Hall ABC,"Clear Align provides AI enabled and networked EO/IR systems. Our solutions provide autonomous intelligent surveillance that detects, tracks and identifies items of interest using smarter automatic target recognition. Our networked solutions communicate critical data from systems to operator. For all domain warfare, Clear Align is the smarter alternative."
CMG Networks,https://www.cmgcorp.org,"CM, United States",,CM,United States,1167,Hall ABC,"CMG is a nonprofit service organization that helps the government, entrepreneurs, and innovators harness the power of Other Transaction Authority to solve our Nation’s most urgent national security challenges. CMG serves as a stand-neutral party providing support to the government and services to members facilitating award, execution, & follow-on production."
Cocoon Inc,https://www.cocoon-inc.com,"North Hampton, NH, United States",North Hampton,NH,United States,8142,Hall DE,"Increase operational readiness and decrease your maintenance costs by protecting critical assets from the elements. Cocoon offers a full spectrum of corrosion-prevention solutions, from protective covers to hangars to humidity-controlled environments. We also offer an assurance program featuring remote monitoring, real-time alerts, encrypted reporting, on-site training, inspection, and preventative maintenance."
"Codemettle, LLC",https://www.codemettle.com,"Atlanta, GA, United States",Atlanta,GA,United States,7454,Hall DE,"CodeMettle is a network management company headquartered in Atlanta, GA. We provide a suite of distributed and scalable Network Operations products that enable enterprises to analyze, organize, and consolidate complex data, processes, and operations. We serve clients with the most complex networks in the government/defense, telecommunications, and media sectors."
COGES,https://www.cogesevents.com,USA,,,USA,2641,Hall ABC,"COGES, organizes several Defence & Security exhibitions: Eurosatory (15-19 June 2026, Paris, France) the leading event in the world dedicated to Land & Airland Defence and Security, Expodefensa (1-3 December 2025, Bogota, Colombia) SITM (10-11 February 2027, Grenoble France)"
Colt's Manufacturing Company LLC,https://colt.com/mle,"West Hartford, CT, United States",West Hartford,CT,United States,7247,Hall DE,
CompuLink,https://www.compulink.com,"Saint Petersburg, FL, United States",Saint Petersburg,FL,United States,8413,Hall DE,"Compulink is an ITAR certified manufacturer of military wire harnesses and custom molded cable assemblies for defense applications. Our cables and harnesses can be found in military equipment world wide to include ruggedized tactical military computers, military radios, communications and networking, ground vehicles and chassis applications, UAV and C4ISR environments."
Comrod Inc,https://www.comrod.com,"Westlake, OH, United States",Westlake,OH,United States,255,Hall ABC,"Comrod Inc, a member of the Comrod Communication Group of companies, is a leader in developing, producing, selling, and marketing advanced communications systems for the Defense and Aerospace industry. Comrod specializes in antenna systems, support masts, and power supplies."
Concept2 Inc,https://www.concept2.com,"Morrisville, VT, United States",Morrisville,VT,United States,7027,Hall DE,"Our machines offer low impact, aerobic workouts with a powerful Performance Monitor that can be used anywhere in the world. Concept2 equipment is assembled in the US and is engineered to last for decades. For these reasons, our equipment has been a trusted source for physical fitness training and testing."
Conflict Kinetics,https://www.conflictkinetics.com,"Reston, VA 20191",Reston,,VA 20191,7027,Hall DE,"Conflict Kinetics specializes in human performance optimization; in support of warfighters, agents and all those who protect and serve as they reach cognitive and physical mastery over their environment and weapon system."
Conflux Technology Pty Ltd,https://www.confluxtechnology.com/,USA,,,USA,525,Hall ABC,"Conflux has a diverse range of high-performance heat exchangers currently in use by our customers. This includes solutions for Gas-Liquid, Liquid-Liquid, and Gas-Gas applications, as well as advanced cold plate systems for precise thermal management."
Contact Corporation,https://www.contactcorp.net,"Winchester, VA, United States",Winchester,VA,United States,6452,Hall DE,"Telescopic masts by Tim Price, Inc/Contact Corporation are composite mast systems for the military. Contact is a systems integrator and North American distributor for Mastsystem Intl. (MS). Contact designs and integrates mast systems for tactical communications utilizing Contact's patented brackets, fully integrated trailer mast systems, power systems, and MS products."
Continental Electronics,https://www.contelec.com,"Dallas, TX 75227",Dallas,,TX 75227,8201,Hall DE,"Continental Electronics is a global leader in high-power radio frequency (RF) transmission technology, specializing in the design, development, and manufacture of leading-edge digital and analog fully integrated transmitter systems. Serving scientific, military, industrial, and broadcast sectors, Continental Electronics delivers innovative RF solutions backed by decades of expertise."
"Control Solutions, LLC",https://www.controls.com,"Aurora, IL, United States",Aurora,IL,United States,7717,Hall DE,"Control Solutions LLC provides Motorized Turret Systems & Accessories for tactical wheeled vehicles. We have been providing military systems for over 30 years. For maximum warfighter protection, and increase accuracy and safety, view our RFO System (Remote Firing Option)."
CONTROP USA INC.,https://www.contropusa.com,"Germantown, MD, United States",Germantown,MD,United States,6915,Hall DE,"CONTROP-USA Inc. provides Electro-Optical Infrared (EO/IR) systems, payloads, and sensors to United States Government Program Offices and End Users."
CoVar,https://covar.com/,"McLean, VA, United States",McLean,VA,United States,3954,Hall ABC,"CoVar provides trusted AI/ML Solutions for the Department of Defense. We work with our customers to develop and deploy cutting-edge algorithms on modern sensors. From data ingestion, labeling, and metric definition through network training, algorithm design, and real-time SWAP-limited implementation, CoVar is your go-to advanced algorithm development partner."
Crane Aerospace & Electronics,https://www.craneae.com/,"Lynnwood, WA, United States",Lynnwood,WA,United States,2167,Hall ABC,"Crane Aerospace & Electronics is a leading supplier of rugged, reliable power conversion, thermal management, microwave, sensing, and landing system solutions for the defense industry. From supporting the coming era of military vehicle electrification to advanced AESA radars, missiles and LEO assets, count on Crane to deliver innovative solutions."
Critical Objectives LLC,https://www.criticalobjectives.com,"Grand Haven, MI, United States",Grand Haven,MI,United States,445,Hall ABC,
"Crystal Group, Inc.",https://crystalrugged.com,"Hiawatha, IA, United States",Hiawatha,IA,United States,2115,Hall ABC,"Crystal Group takes a zero limits approach to building rugged tech solutions custom-tailored for your operational needs. We say yes to challenges others shy away from, equipping you with the confidence and predictable performance you need to thrive in the world's most unforgiving environments."
Cubic Defense,https://www.cubic.com/defense,"San Diego, CA, United States",San Diego,CA,United States,7117,Hall DE,"Cubic Defense delivers a decisive advantage with mission inspired solutions that enable assured data access, converged digital intelligence and superior warfighting readiness. Join us in Halls D & E, booth #7117, to learn Cubic can help sustain the advantage for the pacing peer fight."
Cummins,https://www.cummins.com/,"Columbus, IN, United States",Columbus,IN,United States,6319,Hall DE,"Cummins Inc., a global power solutions leader, comprises five business segments supported by its global manufacturing and extensive service and support network, skilled workforce and vast technological expertise. See how Cummins is leading your world toward a future of smarter, cleaner power at www.cummins.com."
Curtiss-Wright,https://www.curtisswrightds.com,"Ashburn, VA, United States",Ashburn,VA,United States,1509,Hall ABC,Curtiss-Wright Defense Solutions is an industry-leading supplier of COTS-based mission-critical modules and system-level products.
Custom Wheel Solutions LLC,https://www.cwswheels.com,"Oak Park, MI, United States",Oak Park,MI,United States,4229,Hall ABC,"Custom Wheel Solutions new manufacturing facility in Oak Park, MI, manufactures, engineers, tests, and delivers wheel, tire and runflat assemblies that exceed military standards. Over 100 years of OEM engineering and manufacturing experience applied to lower volume military programs allows CWS to deliver affordable and available wheel/tire assemblies."
Cyalume Light Technology,https://getcyalume.com/industries/military-chemlights,"West Springfield, MA, United States",West Springfield,MA,United States,2212,Hall ABC,"For over 50 years, Cyalume Technologies has been the world leader in chemical lighting solutions. We have a proven track record of supplying purpose driven chemical lighting tools and munitions to U.S. and NATO military forces. We are proud of our heritage and delivering innovative products built in the USA."
CZ,https://Cz-usa.com,"Kansas City, KS, United States",Kansas City,KS,United States,7247,Hall DE,
D'Aniello Institute For Veterans and Military Families at Syracuse,https://ivmf.syracuse.edu,"Syracuse, NY, United States",Syracuse,NY,United States,532,Hall ABC,"The IVMF at Syracuse University is higher education’s first interdisciplinary academic institute, singularly focused on advancing the post-service lives of the nation’s military veterans and their families to serve those who have served."
D-Fend Solutions,https://www.d-fendsolutions.com,"McLean, VA, United States",McLean,VA,United States,7120,Hall DE,"D-Fend Solutions is the leading counter-drone, cyber-takeover technology provider, enabling full control, safety & continuity during rogue drone incidents across complex environments, to overcome current & emerging drone threats."
"Dabeeo, Inc",https://www.dabeeo.com,"San Jose, CA, United States",San Jose,CA,United States,7519,Hall DE,"Dabeeo, a company specializing in geospatial artificial intelligence technology, leverages extensive GeoIntelligence to digitize Earth's geospatial data through AI-powered transformation technologies. By creating a digital twin of Earth and providing advanced geospatial intelligence through data analyses, Dabeeo enables informed and optimal decision-making."
Dalfin AI,https://www.dalfin.ai,United States,,,United States,525,Hall ABC,"Dalfin AI is a sovereign no-code platform that enables defence teams to build secure, mission critical software systems in minutes; powered by artificial intelligence. Users can create fully functional applications using natural language, voice, or screenshots. Dalfin operates in air-gapped, multilingual, and on-premise environments with no coding or dependency required."
Dantherm Denmark A/S,https://www.danthermgroup.com,USA,,,USA,1703,Hall ABC,"Our climate control solutions have supported military and humanitarian field camps for over 40 years, becoming the NATO standard for field deployable mobile heating, cooling and drying units with more than 40.000 deployed climate controlled units. Complying with advanced NATO requirements, as well as ISO 9001 and 14001 standards.."
Darley Defense,https://www.darley.com,"Itasca, IL, United States",Itasca,IL,United States,4025,Hall ABC,"Darley Defense division provides the U.S. military with the highest quality technology and equipment solutions. For almost 100 years and with the world’s most coveted supply partners, Darley Defense provides a complete line of unmanned systems, technology, equipment and pumps. More information is available at www.darleydefense.com."
Dataminr,https://www.dataminr.com,"New York, NY, United States",New York,NY,United States,2153,Hall ABC,"Dataminr enhances defense operations by providing real-time critical event discovery powered by advanced AI. It detects early indicators of crises, including natural disasters, public safety threats, and global incidents, enabling rapid response to protect lives and assets. Stay informed and make confident decisions with Dataminr's powerful situational awareness. Visit www.dataminr.com"
Day & Zimmermann,https://www.dayzim.com,"Philadelphia, PA, United States",Philadelphia,PA,United States,2803,Hall ABC,"Founded in 1901, Day & Zimmermann is a family-owned company with a workforce of over 41,000 specializing in construction & engineering, staffing and defense solutions for leading corporations and governments around the world."
DCS Corporation,https://www.dcscorp.com,"DC, United States",,DC,United States,1061,Hall ABC,"At DCS, we work side-by-side with our Army customers to advance technologies that strengthen our nation’s defense and security. Our employee-owners continue a 48-year legacy, providing engineering, R&D, test, program and acquisition excellence to assist customers in solving complex technical challenges and delivering innovative solutions to the Warfighter."
Deakin University,https://www.deakin.edu.au,Australia,,,Australia,525,Hall ABC,"Deakin University supports Australia and its allies through cutting-edge defence research, sovereign capability development, and workforce training. With secure facilities, trusted partnerships, and alignment to AUKUS and the National Defence Strategy, Deakin delivers advanced technologies and dual-use solutions that enhance national resilience, interoperability, and strategic advantage across allied domains."
Decavo,https://www.decavo.com/,"Hood River, OR, United States",Hood River,OR,United States,3703,Hall ABC,"Innovative composite solutions for your business needs. Our integrated design, engineering and manufacturing expertise allows us to offer price-competitive composite solutions for a wide range of industries. Whether using carbon fiber, fiberglass or other aramid materials, we create state of the art components that combine functionality, price and style."
Decision Lens,https://www.decisionlens.com,"Arlington, VA, United States",Arlington,VA,United States,3454,Hall ABC,"Decision Lens is a strategic prioritization, resource allocation and budget planning solution. As an organization we focus on delivering the best, most secure software to the public sector and have helped clients from across the DoD, Federal Civilian and State and Local agencies transform their planning, budgeting and execution processes."
DEFEA - Defence Exhibition Athens,https://www.defea.gr,Greece,,,Greece,7219,Hall DE,"DEFEA 2027 is Europe’s premier defence and security exhibition, held in Athens under the Hellenic Ministry of National Defence. It gathers global industry, government, and military leaders for high-level networking, innovation showcases, and strategic dialogue across land, sea, air, cyber, and space domains. Join us: 18–20 May 2027."
Dell Technologies,https://www.dell.com/en-us/lp/dt/industry-federal-government-it,"Chris Heuer, US, USA",Chris Heuer,US,USA,2361,Hall ABC,"Transform with Dell Technologies. From optimizing IT infrastructure to exploring AI, 5G, and edge solutions, we deliver secure, innovative tools to empower your mission."
Deloitte,https://www.deloitte.com,"Arlington, VA, United States",Arlington,VA,United States,1603,Hall ABC,"Deloitte empowers the US Army to accelerate modernization and readiness through AI, strategy, technology, and human capital expertise. We drive digital transformation, optimize logistics, strengthen cyber resilience, and implement advanced analytics, cloud migration, and automation to enhance operational effectiveness, agility, and cost efficiency."
Deschamps,https://www.deschamps-systems.com/,USA,,,USA,2738,Hall ABC,"Manufacturer of ground reinforcement solution for defense organizations, disaster teams, the aircraft recovery departments, the civil engineering companies, and the recreational beach access entities."
"DFND Technologies, Inc",https://dfndusa.com,"Hawthorne, CA, United States",Hawthorne,CA,United States,7027,Hall DE,
Diehl Defence GmbH & Co. KG,https://www.diehl.com/defence/en/,"Contact Info, Anna Lena St",Contact Info,,Anna Lena St,2707,Hall ABC,"Diehl Defence, headquartered in Ueberlingen, concentrates the Diehl Group's business activities in the fields of defence and security and is a leading system house for state-of-the-art air defence systems."
Don Kyatt Spare Parts / Terrain Tamer,https://terraintamer.com,"Stockton, CA, United States",Stockton,CA,United States,525,Hall ABC,"Australian 4WD parts brand Terrain Tamer have been engineering, testing and manufacturing 4WD parts for over 55 years. A product range of over 60,000 unique part numbers, formed by parts that will keep a 4WD running - brake, suspension, gearbox, transfer case, CV joints, filters, bearing kits, clutch other parts."
"Donaldson Company, Inc.",https://www.donaldsonaerospace-defense.com/,"Minneapolis, MN, United States",Minneapolis,MN,United States,7603,Hall DE,"Our filtration solutions protect fixed-wing aircraft, rotorcraft, military ground vehicles, electronic equipment, space vehicles, missiles, military shipboard systems and amphibious vehicles. We are committed to advancing filtration solutions and providing quality products and prompt customer service."
Dongin Optical,https://www.donginoptical.com,USA,,,USA,7519,Hall DE,Thermal Red Dot Sight – DTS100L Red Dot Sight for 12.7mm HMG – DCL120 Red dot sight with Laser Aiming Device – DCL28-L
Doodle Labs,https://doodlelabs.com/,"Marina Del Rey, CA 90292",Marina Del Rey,,CA 90292,4043,Hall ABC,
Dr. Diesel Technologies,https://www.drdieseltech.com,"Murrieta, CA, United States",Murrieta,CA,United States,548,Hall ABC,"DR. DIESEL TECHNOLOGIES - Fleet Diagnostic Solutions and test equipment. Brining you tomorrow's technology, today!"
DripDrop ORS,https://www.dripdrop.com/,"Oakland, CA, United States",Oakland,CA,United States,7027,Hall DE,"Medical-grade DripDrop ORS is the fast-acting, delicious-tasting dehydration remedy trusted by doctors, firefighters, elite athletes and the U.S. Military."
DroneShield,https://www.droneshield.com,"Warrenton, VA, United States",Warrenton,VA,United States,525,Hall ABC,"DroneShield provides Artificial Intelligence based platforms for protection against advanced threats such as drones and autonomous systems. We offer customers bespoke counterdrone (or counter-UAS) and electronic warfare solutions and off-the-shelf products designed to suit a variety of terrestrial, maritime or airborne platforms."
DTC,https://www.domotactical.com,"DT, USA",,DT,USA,7701,Hall DE,"DTC is a leading global technology company that designs and develops robust, mission-critical connectivity to solve communication challenges in demanding environments. Solutions include secure, wireless Mesh networks, mobile communications systems and high-frequency software-defined radios for real-time communication datalinks and situational awareness that connect and protect our customers around the globe."
Ducommun Incorporated,https://www.ducommun.com,"Costa Mesa, CA, United States",Costa Mesa,CA,United States,3411,Hall ABC,"Ducommun delivers value through advanced manufacturing technologies, engineering and total product solutions to aerospace, defense and industrial markets worldwide. We design and manufacture complex Electronic Systems, Aerostructures, Engineered Products and Aftermarket offerings, producing critical components and proprietary parts for intelligent aviation platforms, mission-critical military and space programs, and industrial applications."
Dynamit Nobel Defence,https://www.dn-defence.com,USA,,,USA,2603,Hall ABC,"Dynamit Nobel Defence GmbH (DND), is a global leader in the field of shoulder-launched weapons for dismounted combat. We look back at more than 60 years of experience in the development and production of munitions for anti-tank, anti-armor, and multipurpose uses."
DZYNE,https://www.dzyne.com,"DZ, USA",,DZ,USA,213,Hall ABC,
EarlyBirds,https://earlybirds.io,United States,,,United States,525,Hall ABC,"EarlyBirds is revolutionising Defence and National Security capabilities. Boasting a proven track record, its platform excels in identifying dual-use technologies, monitoring critical advancements, and comprehending industrial innovations in sovereign, allies and rest of the world."
Echodyne,https://www.echodyne.com/,"Kirkland, WA, United States",Kirkland,WA,United States,147,Hall ABC,"A U.S. designer and manufacturer of advanced ESA radar solutions for defense and national security applications, Echodyne’s proprietary metamaterials electronically scanned array (MESA®) is a rare breakthrough in advanced radar engineering delivering COTS radars with extraordinary accuracy and reliable operation at commercial prices and availability. Proven. Trusted. Reliable. Echodyne.com"
EDEA Energy,https://edea.energy/,United States,,,United States,525,Hall ABC,"EDEA Energy is proud to present a sovereign suite of advanced battery systems. Our Super6T platform (MIL-PRF-32565C) is designed in two variants — LFP and LTO — offering flexibility in energy density, cycle life, and thermal resilience. Australian, Japanese, and South Korean cells ensure geopolitically stable supply chains."
EIZO Rugged Solutions,https://www.eizorugged.com,"EI, USA",,EI,USA,754,Hall ABC,"EIZO Rugged Solutions designs NVIDIA-powered embedded XMC, VPX, and PCIe hardware for open architecture C5ISR mission systems. Products include SOSA aligned GPGPU computing, video capture, H.265 encoding solutions, and rugged LCD monitors for C2. Capabilities include raw video capture, AI-accelerated processing, encoding/decoding, streaming, and real-time data computing in harsh environments."
Elbit America,https://www.elbitamerica.com,"Fort Worth, TX, United States",Fort Worth,TX,United States,6441,Hall DE,Elbit Systems of America is a leading provider of Land and C4I technologies. Elbit America offers a variety of solutions for integration with combat vehicles and weapon systems. Our products ranging from electromechanical controls to tactical computers provide high reliability and information vital to combat situations.
Electromet Rugged Enclosures,https://electromet.com/,"Hagerstown, MD, United States",Hagerstown,MD,United States,1667,Hall ABC,"Electromet is an ISO 9001 certified organization delivering solutions in four primary areas: Custom Solutions (Build-To-Print), GKI® COTS Electronic Enclosure Solutions, Technical and Engineering Solutions, Electro-Mechanical Integration"
ELIKA TEAM,https://www.elikateam.com,USA,,,USA,2641,Hall ABC,"Elika Team specializes in operational linguistic communication based on cutting-edge linguistic engineering for the defense & security sectors. Our applications are tailor-made, offline, anonymous, tested, approved and purchased by the French military. Our set of products cover the entire needs of operational communication: evaluation, training, drilling and mission support."
Elma Electronic Inc.,https://www.elma.com,"Fremont, CA, United States",Fremont,CA,United States,867,Hall ABC,"Elma Electronic designs and builds electronic enclosures and embedded hardware & systems used in C5ISR, EW, SIGINT, and other applications. A leader in VITA, SOSA & PICMG standards, we build next-gen computing and sensor platforms using open architectures like OpenVPX, SOSA, VNX+, and COMe, with long lifecycle program"
ELMON,https://www.elmon.com,USA,,,USA,7219,Hall DE,"ELMON S.A. specializes in the design, development, and production of high-quality, innovative, and efficient body armor solutions for security forces worldwide. Through continuous innovation and close collaboration with leading industry partners, we constantly shape, enhance, and advance our development efforts to meet evolving protection needs."
EM Solutions Pty Ltd,https://www.emsolutions.com.au,Australia,,,Australia,525,Hall ABC,"EM Solutions is vertically integrated in the development, engineering, verification, Manufacturing and sustainment of Naval SATCOM systems. The company also designs and manufactures innovative microwave and Radio Frequency (RF) subsystems that are utilised in both inhouse and third-party systems and provides build-to-print and engineering services"
Emcor Enclosures,https://www.emcorenclosures.com,"Rochester, MN, United States",Rochester,MN,United States,1667,Hall ABC,"With decades of experience managing solutions for the test and measurement, aerospace and defense, data center, and enterprise networking markets we are well positioned to provide you with unequaled application expertise, customer service, and technical support."
Enduraphin,https://www.enduraphin.com,"Orlando, FL, United States",Orlando,FL,United States,7027,Hall DE,
Enercon,https://www.enerconpower.com,"East Peoria, IL, United States",East Peoria,IL,United States,3907,Hall ABC,"Enercon is your power system, integration experts! We design, manufacture, and test power packages for small and large projects. We exist so you can maintain a tactical, operational, and strategic advantage over adversarial or environmental threats without worrying about catastrophic loss of power! We have the power to prevail!"
"EnerSys, Inc",https://www.hawkerbatteries.com,"Columbia, SC, United States",Columbia,SC,United States,2053,Hall ABC,"The world’s largest manufacturer of industrial batteries, offers complete VRLA, Li-Ion, Lithium Primary Reserve, and Nickel Cadmium stored energy solutions for the aerospace and defense industry. EnerSys batteries for military tactical ground vehicles, aircraft, ships, submarines, and weapons systems are known for their superior quality and innovative technology."
Enterprise Greece,https://www.enterprisegreece.gov.gr/en/,"Government Organization, Enterprise Greece is the official investment and trade promotion agency of the Greek St 109 Vasilissis Sofias Avenue",Government Organization,,Enterprise Greece is the official investment and trade promotion agency of the Greek St 109 Vasilissis Sofias Avenue,7219,Hall DE,"Enterprise Greece is a Société Anonyme (SA), under the supervision of the Ministry of Foreign Affairs, responsible for attracting foreign direct investments to Greece and promoting the export of Greek products and services abroad."
Epirus,https://www.epirusinc.com,"Torrance, CA, United States",Torrance,CA,United States,7609,Hall DE,"Epirus is a high-growth technology company dedicated to overcoming the asymmetric challenges inherent to the future of national security. Epirus’ flagship technology, Leonidas™, is a software-defined, energy-based high-power microwave platform, built using intelligent power management techniques which allow power-hungry systems to do more with less."
Equipto Electronics Corporation,https://www.equiptoelec.com/,"Aurora, IL, United States",Aurora,IL,United States,1667,Hall ABC,"Equipto Electronics Corporation is a leading manufacturer of shielded metal packaging products for the electronics industry. We design and manufacture a wide variety of standard equipment enclosures, from full-size cabinets to sub-racks. Special customer needs are fulfilled by modifications to standard designs or by custom enclosures."
Esri,https://www.esri.com/en-us/industries/intelligence/overview,"Redlands, CA, United States",Redlands,CA,United States,3519,Hall ABC,Esri's ArcGIS enhances decision making and rapid response across all warfighting functions and echelons for Coalition/Joint All Domain operations.
"ESS (Eye Safety Systems, Inc)",https://www.esseyepro.com,"Hailey, ID, United States",Hailey,ID,United States,3307,Hall ABC,"Established in 1998, Eye Safety Systems, Inc. (ESS) creates advanced eye protection systems for military, law enforcement and fire/rescue professionals. Designed for the planet’s most hostile and unforgiving environments, ESS products feature cutting-edge technologies and patented innovations to ensure peak performance and uncompromised eye safety."
"ETL Co., Ltd.",https://www.etlst.com,USA,,,USA,7519,Hall DE,"ETL has invented a unique stealth coating solution, integrating the full supply chain into our production facility. We provide stealth solutions and services that meet our customers' needs across various applications. ETL is committed to being a global leader in offering one-of-a-kind stealth technology through rigorous R&D and innovation."
EURENCO,https://www.eurenco.com,USA,,,USA,2639,Hall ABC,"EURENCO is a key player in the defense sector serving the sovereignty of France and Europe. We design, produce and supply innovative products and solutions with high added value in the fields of pyrotechnics and chemistry."
