name,booth,hall,profile_url,website,domain,all_urls,social_links,description,categories,email,phone,scraped_at,data_quality_score,location_raw_address,location_street,location_city,location_state,location_postal,location_country,location_country_code,location_lat,location_lng,location_accuracy
Brassets Group,525,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/0C67C235-3B3C-F011-8109-89D6F48D9B9D,https://www.brassetsgroup.com/security-services/,www.brassetsgroup.com,"['https://www.linkedin.com/company/https://www.linkedin.com/company/brassets-pty-ltd/', 'https://www.brassetsgroup.com/security-services/']",{'linkedin': 'https://www.linkedin.com/company/https://www.linkedin.com/company/brassets-pty-ltd/'},"Brassets Group specialise in integrated, intelligent threat detection systems for the protection of critical infrastructure, assets and people through perimeter security and domain awareness. With have a proven track record of delivering layered technology strategy, design, engineering and implementation of specialist security technology solutions in military domains.",[],,,2025-08-25 15:33:45,0.6,"

Contact Info
Jacky Stickler
Client Services Director

Brassets Group
Technology
46755 Magellan Dr
Archerfield, MI 48377",46755 Magellan Dr,Archerfield,MI,48377,United States,US,,,unknown
Breaker,525,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/1A1D555A-3B3C-F011-8109-89D6F48D9B9D,https://www.breakerindustries.com,www.breakerindustries.com,"['https://www.linkedin.com/company/breaker-industries', 'https://www.breakerindustries.com']",{'linkedin': 'https://www.linkedin.com/company/breaker-industries'},"Breaker's V2 Agent transforms robots into human-like teammates by combining specialized AI models into edge-deployed software. A single operator controls multiple autonomous systems using natural language via existing radios. Features include advanced teaming, robust decision-making, and two-way communication, creating an intuitive interface for truly autonomous systems across any platform.",[],,,2025-08-25 15:33:50,0.8,"Founder

Breaker
701 Brazos St
Austin, TX 78701",701 Brazos St,Austin,TX,78701,United States,US,30.268971,-97.7406286,geocoded
Bren-Tronics,2049,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/3A3DE434-2B8A-EF11-8107-E02365054D38,https://www.bren-tronics.com,www.bren-tronics.com,['https://www.bren-tronics.com'],{},"For 50+ years, Bren-Tronics has pioneered ruggedized battery/charging solutions to meet the demanding military needs. Through innovative engineering, rigorous quality standards, and advanced manufacturing, we deliver mission-critical power where failure isn’t an option. Part of EnerSys, the global leader in stored energy solutions, we proudly continue our legacy of support.",[],,,2025-08-25 15:33:56,0.8,"Tronics
10 Brayton Court
Commack, NY 11725",,Commack,NY,11725,United States,US,40.8393515,-73.2858994,geocoded
C.E. Niehoff & Co.,2003,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/A0321D23-378A-EF11-8107-E02365054D38,https://www.ceniehoff.com,www.ceniehoff.com,['https://www.ceniehoff.com'],{},"Founded in 1923, we are an employee-owned U.S. manufacturer of high-output alternators and power management devices. Designed and engineered in our Evanston, IL facility, our custom solutions support the most demanding applications. With 400+ skilled employees, we deliver innovation, quality, and reliability—setting the performance standard across industries worldwide.",[],,,2025-08-25 15:34:03,0.8,"
2021 Lee Street
Evanston, IL 60202",2021 Lee Street,Evanston,IL,60202,United States,US,42.0361755,-87.7017421,geocoded
CACI International Inc,2249,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/6C065636-2D8A-EF11-8107-E02365054D38,,,"['https://www.facebook.com/https://www.facebook.com/CACIIntl/', 'https://twitter.com/https://twitter.com/CACIIntl', 'https://www.instagram.com/https://www.instagram.com/caciintl/', 'https://www.linkedin.com/company/https://www.linkedin.com/company/caci-international-inc/']","{'facebook': 'https://www.facebook.com/https://www.facebook.com/CACIIntl/', 'twitter': 'https://twitter.com/https://twitter.com/CACIIntl', 'instagram': 'https://www.instagram.com/https://www.instagram.com/caciintl/', 'linkedin': 'https://www.linkedin.com/company/https://www.linkedin.com/company/caci-international-inc/'}",,[],,,2025-08-25 15:34:09,0.4," 2249
Contact Info
Stephanie McMahan

CACI International Inc
12021 Sunset Hills Road
Reston, VA 20190",,,CA,,United States,US,36.7014631,-118.755997,geocoded
Callington,525,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/468057AA-3B3C-F011-8109-89D6F48D9B9D,https://www.callington.com,www.callington.com,['https://www.callington.com'],{},,[],,,2025-08-25 15:34:15,0.6,30 South Street,,,,,USA,US,39.7837304,-100.445882,geocoded
Canada Pavilion hosted by the Embassy of Canada to the United States,3403,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/34E3BAE0-66E1-4C85-ACEC-7BAF53561148,,,[],{},"The Canada Pavilion showcases the close national security and defence trade ties between Canada and the United States. Canada’s defence industry features more than 650 businesses supporting Canadian, US, and allied countries’ armed services around the globe. Canada and the United States: Friends. Partners. Allies.",[],,,2025-08-25 15:34:20,0.5,501 Pennsylvania Avenue,,,,,United States,US,39.7837304,-100.445882,geocoded
Capgemini Government Solutions,7205,Hall DE,https://maps.goeshow.com/ausa/annual/2025/220134C4-628A-EF11-8107-E02365054D38,,,[],{},"Capgemini is a global leader in consulting, technology, and digital transformation with 340,000+ employees and $22B+ in revenue. Capgemini Government Solutions applies commercial innovation to meet the U.S. Army’s mission needs. We specialize in Cloud, Enterprise IT, Data& AI, SaaS, Engineering, Intelligent Industry and more to enable mission success.",[],,,2025-08-25 15:34:24,0.6,"

Contact Info
Lesley Dowdle

Capgemini Government Solutions
1765 Greensboro Station Place
Suite 300
McLean, VA 22102",,McLean,VA,22102,United States,US,38.9366852,-77.185843,geocoded
Carahsoft,1767,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/3E41B0BD-0A8B-EF11-8109-89D6F48D9B9D,https://www.carahsoft.com,www.carahsoft.com,"['https://www.facebook.com/https://www.facebook.com/carahsoft/', 'https://twitter.com/https://x.com/Carahsoft', 'https://www.instagram.com/https://www.instagram.com/carahsofttechnology/', 'https://www.linkedin.com/company/https://www.linkedin.com/company/carahsoft', 'https://www.carahsoft.com']","{'facebook': 'https://www.facebook.com/https://www.facebook.com/carahsoft/', 'twitter': 'https://twitter.com/https://x.com/Carahsoft', 'instagram': 'https://www.instagram.com/https://www.instagram.com/carahsofttechnology/', 'linkedin': 'https://www.linkedin.com/company/https://www.linkedin.com/company/carahsoft'}","Carahsoft Technology Corp. is The Trusted Government IT Solutions Provider®, supporting Federal, State and Local Government and Education and Healthcare. As the Master Government Aggregator® for our vendor and reseller partners, we deliver solutions for Cybersecurity, MultiCloud, DevSecOps, Big Data, Artificial Intelligence, Open Source, Customer Experience and Engagement, and more.",[],,,2025-08-25 15:34:29,0.8," 1767

Contact Info
Lindsay Renee

Carahsoft
11493 Sunset Hills Road
Reston, VA 20190",11493 Sunset Hills Road,Reston,VA,20190,United States,US,38.9504142,-77.344387,geocoded
Carmenta Inc.,4120,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/7E8415D2-2C8B-EF11-8109-89D6F48D9B9D,https://www.carmenta.com,www.carmenta.com,['https://www.carmenta.com'],{},,[],,,2025-08-25 15:34:34,0.7,"
1201 Wilson Boulevard
25th floor
Arlington, VA 22209",,Arlington,VA,22209,United States,US,38.8769326,-77.0893094,geocoded
Carnegie Mellon University Software Engineering Institute,2109,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/BCB256F7-518A-EF11-8107-E02365054D38,https://www.sei.cmu.edu,www.sei.cmu.edu,"['https://www.facebook.com/https://www.facebook.com/SEICMU', 'https://twitter.com/https://twitter.com/seinews', 'https://www.instagram.com/https://www.instagram.com/cmu_sei/', 'https://www.linkedin.com/company/https://www.linkedin.com/company/software-engineering-institute', 'https://www.sei.cmu.edu']","{'facebook': 'https://www.facebook.com/https://www.facebook.com/SEICMU', 'twitter': 'https://twitter.com/https://twitter.com/seinews', 'instagram': 'https://www.instagram.com/https://www.instagram.com/cmu_sei/', 'linkedin': 'https://www.linkedin.com/company/https://www.linkedin.com/company/software-engineering-institute'}","Innovation that supports our warfighters with research that advances software as a strategic advantage for national security since 1984. The Software Engineering Institute at Carnegie Mellon University, a Federally Funded Research and Development Center (FFRDC), conducts technical research that connects artificial intelligence, cybersecurity, and software strategies for maximum impact.",[],,,2025-08-25 15:34:38,0.8,"

Contact Info
Trini Lopez
Program Development Manager

Carnegie Mellon University Software Engineering Institute
4500 Fifth Avenue
Pittsburgh, PA 15213",4500 Fifth Avenue,Pittsburgh,PA,15213,United States,US,40.446727,-79.950419,geocoded
Caterpillar Inc.,2205,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/AF14C09B-8389-EF11-8107-E02365054D38,https://www.cat.com/defense,www.cat.com,"['https://www.facebook.com/https://www.facebook.com/caterpillarinc', 'https://twitter.com/https://twitter.com/CaterpillarInc', 'https://www.instagram.com/https://www.Instagram.com/caterpillarinc', 'https://www.linkedin.com/company/https://www.linkedin.com/company/caterpillar-inc', 'https://www.cat.com/defense']","{'facebook': 'https://www.facebook.com/https://www.facebook.com/caterpillarinc', 'twitter': 'https://twitter.com/https://twitter.com/CaterpillarInc', 'instagram': 'https://www.instagram.com/https://www.Instagram.com/caterpillarinc', 'linkedin': 'https://www.linkedin.com/company/https://www.linkedin.com/company/caterpillar-inc'}","Caterpillar Defense’s best-in-class design, engineering and manufacturing capabilities produce a broad range of products for military forces and other government entities. For clean, reliable power, choose from our broad product lineup. We offer engines for marine and land applications, power generation for wide-ranging applications, custom-modified groundbreaking equipment.",[],,,2025-08-25 15:34:44,0.8,"Connor Boulevard
Suite 100
Irving, TX 75039",,Irving,TX,75039,United States,US,32.8295183,-96.9442177,geocoded
CDC Data Centres,525,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/0B863808-3C3C-F011-8109-89D6F48D9B9D,https://CDC.com,CDC.com,['https://CDC.com'],{},CDC Data Centres is Australia's largest privately owned sovereign data centre company specializing in building and operating highly secure (Zone 4 and 5 SCIF) data centres. CDC Data Centres has 18 years of experience and is the home of AI and liquid cooled computers within Australia.,[],,,2025-08-25 15:34:50,0.7,11 Tom Price Street,,,,,USA,US,39.7837304,-100.445882,geocoded
CEA Technologies Ptd Limited,525,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/96EF196A-3C3C-F011-8109-89D6F48D9B9D,https://www.cea.com.au,www.cea.com.au,['https://www.cea.com.au'],{},"CEA is a private, vertically integrated Australian company, designing, developing, manufacturing and sustaining technically superior phased array radar products. CEA has facilities Australia-wide and a US Office (CEATI) based in Massachusetts. The company's capabilities include electronic, software, mechanical & system design, development, manufacturing, integration, test and sustainment.",[],,,2025-08-25 15:34:56,0.7,65 Gladstone Street,,,,,Australia,AU,-24.7761086,134.755,geocoded
CEIA USA,4133,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/4E37E936-618A-EF11-8107-E02365054D38,https://www.ceia.net/groundsearch/index.aspx,www.ceia.net,"['https://twitter.com/twitter.com/CEIAUSA', 'https://www.linkedin.com/company/linkedin.com/company/ceia-usa', 'https://www.ceia.net/groundsearch/index.aspx']","{'twitter': 'https://twitter.com/twitter.com/CEIAUSA', 'linkedin': 'https://www.linkedin.com/company/linkedin.com/company/ceia-usa'}","CEIA Ground Search Metal Detectors provide overall superior performance in the areas of detection distance, soil compensation capability, and immunity to external interference. CEIA USA provides nationwide sales, service, and customer support to customers in North America. Dynamic solutions are the foundation of CEIA USA's commitment to customer satisfaction.",[],,,2025-08-25 15:35:00,0.7," Ground Search Detection Sales

CEIA USA
6336 Hudson Crossing Parkway
Hudson, OH 44236",,,CE,,United States,US,21.3924144,-157.9810586,geocoded
Celestica,3943,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/CA1ED6FE-018B-EF11-8109-89D6F48D9B9D,https://www.celestica.com,www.celestica.com,"['https://www.facebook.com/https://www.facebook.com/CelesticaInc/', 'https://www.linkedin.com/company/https://www.linkedin.com/celestica/', 'https://www.celestica.com']","{'facebook': 'https://www.facebook.com/https://www.facebook.com/CelesticaInc/', 'linkedin': 'https://www.linkedin.com/company/https://www.linkedin.com/celestica/'}","Celestica is a leader in electronics manufacturing services for the aerospace & defense industry. Providing product lifecycle solutions, we drive innovation in the design, engineering, manufacture and after-sales support of mission-critical applications in the air, on land, at sea and in space - enabling rugged, reliable hardware and integrated solutions.",[],,,2025-08-25 15:35:07,0.8," N
Maple Grove, MN 55369",,Maple Grove,MN,55369,United States,US,45.0984983,-93.4419222,geocoded
"Chenega Corporation, MIOS SBU",539,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/542A1527-EE8A-EF11-8109-89D6F48D9B9D,https://chenegamios.com,chenegamios.com,"['https://www.facebook.com/chenegamios', 'https://www.instagram.com/chenegamios', 'https://www.linkedin.com/company/chenega-mios', 'https://chenegamios.com']","{'facebook': 'https://www.facebook.com/chenegamios', 'instagram': 'https://www.instagram.com/chenegamios', 'linkedin': 'https://www.linkedin.com/company/chenega-mios'}","Chenega Corporation's Military, Intelligence, and Operations Support (MIOS) Strategic Business Unit (SBU) offers a diverse range of capabilities that strengthen U.S. Army mission operations. With over 15 years of expertise, Chenega MIOS utilizes the latest breakthrough solutions in information technology, logistics, cybersecurity, training, and more to deliver mission-driven results.",[],,,2025-08-25 15:35:13,0.8," MIOS SBU
10505 Furnace Road
Suite 205
Lorton, VA 22079",,Lorton,VA,22079,United States,US,38.6946355,-77.2199931,geocoded
Cherokee Federal,6152,Hall DE,https://maps.goeshow.com/ausa/annual/2025/2C2515F4-318B-EF11-8109-89D6F48D9B9D,https://cherokee-federal.com,cherokee-federal.com,"['https://www.facebook.com/@CherokeeFederal', 'https://twitter.com/@CherokeeFederal', 'https://www.linkedin.com/company/@CherokeeFederal', 'https://cherokee-federal.com']","{'facebook': 'https://www.facebook.com/@CherokeeFederal', 'twitter': 'https://twitter.com/@CherokeeFederal', 'linkedin': 'https://www.linkedin.com/company/@CherokeeFederal'}","Cherokee Federal, a division of Cherokee Nation Businesses, is a team of trusted government contracting professionals capable of building innovative solutions to solve complex problems. We operate globally, addressing issues in immigration, national security and intelligence, cybersecurity, health care, logistics, construction management, engineering, and manufacturing.",[],,,2025-08-25 15:35:19,0.8," Marketing Specialist

Cherokee Federal
2 West 2nd Street
Suite 1500
Tulsa, OK 74103",,Tulsa,OK,74103,United States,US,36.1563122,-95.9927516,geocoded
Choctaw Defense,655,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/61244B42-0A8B-EF11-8109-89D6F48D9B9D,https://www.choctawdefense.com,www.choctawdefense.com,"['https://www.facebook.com/Choctaw Manufacturing', 'https://www.choctawdefense.com']",{'facebook': 'https://www.facebook.com/Choctaw Manufacturing'},"Choctaw Defense Manufacturing (CDM) is an 8(a) and HUBZone certified machining and fabrication facility with over 300,000 sq. ft. of capacity. For over 30 years CDM has provided the U.S. Army, DLA, NAVSUP, Warner Robins AFB and numerous Prime contractors with high-quality parts and assemblies for military and commercial applications.",[],,,2025-08-25 15:35:26,0.8,"

Contact Info
Stephen Nichols
President

Choctaw Defense
3 Skyway Drive
McAlester, OK 74501",3 Skyway Drive,McAlester,OK,74501,United States,US,34.8878193,-95.779712,geocoded
Cinch Connectivity Solutions,8109,Hall DE,https://maps.goeshow.com/ausa/annual/2025/3EEB72BD-FB8A-EF11-8109-89D6F48D9B9D,https://cinch.com,cinch.com,"['https://www.linkedin.com/company/cinch-connectivity-solutions', 'https://cinch.com']",{'linkedin': 'https://www.linkedin.com/company/cinch-connectivity-solutions'},"Cinch is a leading provider of high-quality interconnect products and custom solutions engineered to meet the harsh environment demands of markets including Aerospace, Defense, 5G/IoT, and Industrial.",[],,,2025-08-25 15:35:31,0.8,"

Contact Info
Theresa Schroeder
Marketing Manager

Cinch Connectivity Solutions
1700 Finley Road
Lombard, IL 60148",1700 Finley Road,Lombard,IL,60148,United States,US,41.850607,-88.02667,geocoded
Cistech Solutions Pty Ltd,525,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/F63773E7-3C3C-F011-8109-89D6F48D9B9D,,,[],{},"CISTECH delivers mission-critical interoperability in radio communications for defense forces. We manufacture rugged mil-spec RoIP gateways and advanced RoIP console software, enabling seamless voice integration across disparate radio systems, networks, and command structures—enhancing situational awareness, operational coordination, and command control in joint, coalition, and tactical military environments.",[],,,2025-08-25 15:35:38,0.5,170 James Street,,,,,United States,US,39.7837304,-100.445882,geocoded
Clear Align,640,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/84A9E740-BF8B-EF11-8109-89D6F48D9B9D,https://www.clearalign.com,www.clearalign.com,['https://www.clearalign.com'],{},"Clear Align provides AI enabled and networked EO/IR systems. Our solutions provide autonomous intelligent surveillance that detects, tracks and identifies items of interest using smarter automatic target recognition. Our networked solutions communicate critical data from systems to operator. For all domain warfare, Clear Align is the smarter alternative.",[],,,2025-08-25 15:35:43,0.8,"

Contact Info
Douglas Wilson
Business Development Manager

Clear Align
2550 Boulevard of the Generals
Suite 280
Eagleville, PA 19403",,Eagleville,PA,19403,United States,US,40.160085,-75.4106722,geocoded
Cloudflare,1767,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/75A100A8-D14A-F011-8109-89D6F48D9B9D,,,[],{},,[],,,2025-08-25 15:35:50,0.5," 1767
Contact Info
Lindsay Renee

Cloudflare
11493 Sunset Hills Rd
Reston, VA 20190",11493 Sunset Hills Rd,Reston,VA,20190,United States,US,38.9504142,-77.344387,geocoded
Club Beyond/Military Community Youth Ministries,430,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/2DEA1BE7-242D-4161-A60E-079AFAC67C62,,,['https://www.facebook.com/https://www.facebook.com/ClubBeyond/'],{'facebook': 'https://www.facebook.com/https://www.facebook.com/ClubBeyond/'},,[],,,2025-08-25 15:35:56,0.3,"Military Community Youth Ministries
540 N Cascade Ave Ste 300
Colorado Springs, CO 80903",540 N Cascade Ave St,Colorado Springs,CO,80903,United States,US,,,unknown
CMG Networks,1167,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/D49AADFE-068B-EF11-8109-89D6F48D9B9D,https://www.cmgcorp.org,www.cmgcorp.org,['https://www.cmgcorp.org'],{},"CMG is a nonprofit service organization that helps the government, entrepreneurs, and innovators harness the power of Other Transaction Authority to solve our Nation’s most urgent national security challenges. CMG serves as a stand-neutral party providing support to the government and services to members facilitating award, execution, & follow-on production.",[],,,2025-08-25 15:36:02,0.7," Industry Relations

CMG Networks
550 Hills Drive
Suite 108B
Bedminster, NJ 07921",,,CM,,United States,US,37.1960944,-99.2958383,geocoded
Cocoon Inc,8142,Hall DE,https://maps.goeshow.com/ausa/annual/2025/D5BBED10-C08B-EF11-8109-89D6F48D9B9D,https://www.cocoon-inc.com,www.cocoon-inc.com,"['https://www.facebook.com/@cocoon.innovates', 'https://twitter.com/@cocoonInc', 'https://www.instagram.com/@cocoon_inc', 'https://www.linkedin.com/company/cocooninc', 'https://www.cocoon-inc.com']","{'facebook': 'https://www.facebook.com/@cocoon.innovates', 'twitter': 'https://twitter.com/@cocoonInc', 'instagram': 'https://www.instagram.com/@cocoon_inc', 'linkedin': 'https://www.linkedin.com/company/cocooninc'}","Increase operational readiness and decrease your maintenance costs by protecting critical assets from the elements. Cocoon offers a full spectrum of corrosion-prevention solutions, from protective covers to hangars to humidity-controlled environments. We also offer an assurance program featuring remote monitoring, real-time alerts, encrypted reporting, on-site training, inspection, and preventative maintenance.",[],,,2025-08-25 15:36:08,0.8,"

Contact Info
Chip Crotty
Founder

Cocoon Inc
216 Lafayette Road
North Hampton, NH 03862",216 Lafayette Road,North Hampton,NH,03862,United States,US,43.0006269,-70.8119421,geocoded
"Codemettle, LLC",7454,Hall DE,https://maps.goeshow.com/ausa/annual/2025/2B283718-0B8B-EF11-8109-89D6F48D9B9D,https://www.codemettle.com,www.codemettle.com,['https://www.codemettle.com'],{},"CodeMettle is a network management company headquartered in Atlanta, GA. We provide a suite of distributed and scalable Network Operations products that enable enterprises to analyze, organize, and consolidate complex data, processes, and operations. We serve clients with the most complex networks in the government/defense, telecommunications, and media sectors.",[],,,2025-08-25 15:36:14,0.8," LLC
6 Concourse Parkway
Suite 2500
Atlanta, GA 30328",,Atlanta,GA,30328,United States,US,33.7544657,-84.3898151,geocoded
COGES,2641,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/20197911-CD49-47EB-BF25-B9DB56A42AB8,https://www.cogesevents.com,www.cogesevents.com,"['https://www.linkedin.com/company/https://www.linkedin.com/company/coges/mycompany/', 'https://www.cogesevents.com']",{'linkedin': 'https://www.linkedin.com/company/https://www.linkedin.com/company/coges/mycompany/'},"COGES, organizes several Defence & Security exhibitions: Eurosatory (15-19 June 2026, Paris, France) the leading event in the world dedicated to Land & Airland Defence and Security, Expodefensa (1-3 December 2025, Bogota, Colombia) SITM (10-11 February 2027, Grenoble France)",[],,,2025-08-25 15:36:19,0.7,,,,,,USA,US,39.7837304,-100.445882,geocoded
Colt's Manufacturing Company LLC,7247,Hall DE,https://maps.goeshow.com/ausa/annual/2025/E0E84E4C-338A-EF11-8107-E02365054D38,https://colt.com/mle,colt.com,['https://colt.com/mle'],{},,[],,,2025-08-25 15:36:24,0.7,"s Manufacturing Company LLC
545 New Park Avenue
West Hartford, CT 06110",545 New Park Avenue,West Hartford,CT,06110,United States,US,41.7380254,-72.7225997,geocoded
Columbia Southern University,8426,Hall DE,https://maps.goeshow.com/ausa/annual/2025/184825D7-648A-EF11-8107-E02365054D38,,,[],{},"Recognized as one of the top schools for active-duty military members and veterans, thousands of military men and women choose Columbia Southern University to earn a quality education while preserving our nation’s freedom. Superior service, flexible programs and exceptional value are the CSU promise.",[],,,2025-08-25 15:36:30,0.6," USA Retired

Columbia Southern University
21982 University Lane
Orange Beach, AL 36561",21982 University Lane,Orange Beach,AL,36561,United States,US,30.3293045,-87.6530654,geocoded
Compaero,7352,Hall DE,https://maps.goeshow.com/ausa/annual/2025/0E3701D7-0D5C-F011-8109-89D6F48D9B9D,,,[],{},"Isodyne and Compaero are industry leaders in the design and manufacture of connector accessories, recognized for consistent quality, performance, and superior customer service. Our comprehensive offerings allow us to service a diverse range of markets including Mil-Aero, Space and Commercial. Our connector accessory experts are here to meet your needs.",[],,,2025-08-25 15:36:37,0.4,"

Contact Info
Zach Palacio
Sales

Compaero
379 Timber Road
Mooresville, KS 28115",379 Timber Road,Mooresville,KS,28115,United States,US,,,unknown
CompuLink,8413,Hall DE,https://maps.goeshow.com/ausa/annual/2025/D93AD500-658A-EF11-8107-E02365054D38,https://www.compulink.com,www.compulink.com,['https://www.compulink.com'],{},"Compulink is an ITAR certified manufacturer of military wire harnesses and custom molded cable assemblies for defense applications. Our cables and harnesses can be found in military equipment world wide to include ruggedized tactical military computers, military radios, communications and networking, ground vehicles and chassis applications, UAV and C4ISR environments.",[],,,2025-08-25 15:36:43,0.8,"

Contact Info
Brian Brannock

CompuLink
1205 Gandy Boulevard North
Saint Petersburg, FL 33702",1205 Gandy Boulevard,Saint Petersburg,FL,33702,United States,US,27.8496964,-82.6694111,geocoded
Comrod Inc,255,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/7EC9EA6B-F58A-EF11-8109-89D6F48D9B9D,https://www.comrod.com,www.comrod.com,['https://www.comrod.com'],{},"Comrod Inc, a member of the Comrod Communication Group of companies, is a leader in developing, producing, selling, and marketing advanced communications systems for the Defense and Aerospace industry. Comrod specializes in antenna systems, support masts, and power supplies.",[],,,2025-08-25 15:36:49,0.8,"

Contact Info
Lee Svoboda
Managing Director

Comrod Inc
909 Canterbury Road
Suite A
Westlake, OH 44145",,Westlake,OH,44145,United States,US,41.4553232,-81.9179174,geocoded
Concept2 Inc,7027,Hall DE,https://maps.goeshow.com/ausa/annual/2025/66CEFE2C-793E-F011-8109-89D6F48D9B9D,https://www.concept2.com,www.concept2.com,"['https://www.facebook.com/Concept2Inc', 'https://www.instagram.com/concept2inc', 'https://www.linkedin.com/company/concept2-inc', 'https://www.concept2.com']","{'facebook': 'https://www.facebook.com/Concept2Inc', 'instagram': 'https://www.instagram.com/concept2inc', 'linkedin': 'https://www.linkedin.com/company/concept2-inc'}","Our machines offer low impact, aerobic workouts with a powerful Performance Monitor that can be used anywhere in the world. Concept2 equipment is assembled in the US and is engineered to last for decades. For these reasons, our equipment has been a trusted source for physical fitness training and testing.",[],,,2025-08-25 15:36:56,0.8,"Government Sales

Concept2 Inc
105 Industrial Park Drive
Morrisville, VT 05661",105 Industrial Park Drive,Morrisville,VT,05661,United States,US,44.5699872,-72.5898615,geocoded
Conflict Kinetics,7027,Hall DE,https://maps.goeshow.com/ausa/annual/2025/46A10041-ED3F-F011-8109-89D6F48D9B9D,https://www.conflictkinetics.com,www.conflictkinetics.com,"['https://www.facebook.com/ConflictKinetics', 'https://www.linkedin.com/company/conflict-kinetics-corporation', 'https://www.conflictkinetics.com']","{'facebook': 'https://www.facebook.com/ConflictKinetics', 'linkedin': 'https://www.linkedin.com/company/conflict-kinetics-corporation'}","Conflict Kinetics specializes in human performance optimization; in support of warfighters, agents and all those who protect and serve as they reach cognitive and physical mastery over their environment and weapon system.",[],,,2025-08-25 15:37:02,0.8,"
Reston, VA 20191",,Reston,,,VA 20191,,38.9587514,-77.3585955,geocoded
Conflux Technology Pty Ltd,525,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/FD7BF0A2-6F51-F011-8109-89D6F48D9B9D,https://www.confluxtechnology.com/,www.confluxtechnology.com,['https://www.confluxtechnology.com/'],{},"Conflux has a diverse range of high-performance heat exchangers currently in use by our customers. This includes solutions for Gas-Liquid, Liquid-Liquid, and Gas-Gas applications, as well as advanced cold plate systems for precise thermal management.",[],,,2025-08-25 15:37:08,0.7,75 Pigdons Road,,,,,USA,US,39.7837304,-100.445882,geocoded
Contact Corporation,6452,Hall DE,https://maps.goeshow.com/ausa/annual/2025/E3127949-638A-EF11-8107-E02365054D38,https://www.contactcorp.net,www.contactcorp.net,['https://www.contactcorp.net'],{},"Telescopic masts by Tim Price, Inc/Contact Corporation are composite mast systems for the military. Contact is a systems integrator and North American distributor for Mastsystem Intl. (MS). Contact designs and integrates mast systems for tactical communications utilizing Contact's patented brackets, fully integrated trailer mast systems, power systems, and MS products.",[],,,2025-08-25 15:37:13,0.8,"

Contact Info
Gary Groah
Director of BD

Contact Corporation
1818 Roberts Street
Winchester, VA 22601",1818 Roberts Street,Winchester,VA,22601,United States,US,39.1690512,-78.1773333,geocoded
Continental Electronics,8201,Hall DE,https://maps.goeshow.com/ausa/annual/2025/7692B4BA-0E43-F011-8109-89D6F48D9B9D,https://www.contelec.com,www.contelec.com,['https://www.contelec.com'],{},"Continental Electronics is a global leader in high-power radio frequency (RF) transmission technology, specializing in the design, development, and manufacture of leading-edge digital and analog fully integrated transmitter systems. Serving scientific, military, industrial, and broadcast sectors, Continental Electronics delivers innovative RF solutions backed by decades of expertise.",[],,,2025-08-25 15:37:20,0.8,"
Dallas, TX 75227",,Dallas,,,TX 75227,,32.7762719,-96.7968559,geocoded
"Control Solutions, LLC",7717,Hall DE,https://maps.goeshow.com/ausa/annual/2025/77514D0A-528A-EF11-8107-E02365054D38,https://www.controls.com,www.controls.com,['https://www.controls.com'],{},"Control Solutions LLC provides Motorized Turret Systems & Accessories for tactical wheeled vehicles. We have been providing military systems for over 30 years. For maximum warfighter protection, and increase accuracy and safety, view our RFO System (Remote Firing Option).",[],,,2025-08-25 15:37:27,0.8," LLC
2520 Diehl Road
Aurora, IL 60502",2520 Diehl Road,Aurora,IL,60502,United States,US,41.7952323,-88.2584532,geocoded
