Institution Name,State,City,program,Contact Email,Website
Tallahassee Community College,FL,Tallahassee,CAD/CAM Drafting,murdaugj@tcc.fl.edu,www.tcc.fl.edu/
Tallahassee Community College,FL,Tallahassee,Diesel & Automotive Tech,murdaugj@tcc.fl.edu,www.tcc.fl.edu/
Tallahassee Community College,FL,Tallahassee,Construction,murdaugj@tcc.fl.edu,www.tcc.fl.edu/
Tallahassee Community College,FL,Tallahassee,Woodworking & Carpentry,murdaugj@tcc.fl.edu,www.tcc.fl.edu/
Big Bend Technical College,FL,Perry,Diesel & Automotive Tech,sarat@bigbend.edu,https://www.bbtc.edu/
Big Bend Technical College,FL,Perry,Welding,sarat@bigbend.edu,https://www.bbtc.edu/
Big Bend Technical College,FL,Perry,Machine & Mechanical Systems,sarat@bigbend.edu,https://www.bbtc.edu/
Valencia College,FL,Orlando,Welding,kplinske@valenciacollege.edu,valenciacollege.edu/
Valencia College,FL,Orlando,Machine & Mechanical Systems,kplinske@valenciacollege.edu,valenciacollege.edu/
Valencia College,FL,Orlando,Woodworking & Carpentry,kplinske@valenciacollege.edu,valenciacollege.edu/
Florida Panhandle Technical College,FL,Chipley,Welding,bryan.lee@fptc.edu,fptc.edu/
Florida Panhandle Technical College,FL,Chipley,Diesel & Automotive Tech,bryan.lee@fptc.edu,fptc.edu/
Florida Panhandle Technical College,FL,Chipley,Woodworking & Carpentry,bryan.lee@fptc.edu,fptc.edu/
Florida Panhandle Technical College,FL,Chipley,Construction,bryan.lee@fptc.edu,fptc.edu/
Orange Technical College-West Campus,FL,Winter Garden,Plumbing & Pipefitting,lori@orangetechcollege.net,https://www.orangetechcollege.net/campuses/west_campus
Orange Technical College-West Campus,FL,Winter Garden,HVAC,lori@orangetechcollege.net,https://www.orangetechcollege.net/campuses/west_campus
Orange Technical College-West Campus,FL,Winter Garden,Construction,lori@orangetechcollege.net,https://www.orangetechcollege.net/campuses/west_campus
Orange Technical College-West Campus,FL,Winter Garden,Welding,lori@orangetechcollege.net,https://www.orangetechcollege.net/campuses/west_campus
Interactive College of Technology-Chamblee,GA,Chamblee,HVAC,—,www.ict.edu/
Atlanta Technical College,GA,Atlanta,Diesel & Automotive Tech,vseals@atlantatech.edu,https://atlantatech.edu/
Atlanta Technical College,GA,Atlanta,Woodworking & Carpentry,vseals@atlantatech.edu,https://atlantatech.edu/
Atlanta Technical College,GA,Atlanta,Electronics,vseals@atlantatech.edu,https://atlantatech.edu/
Atlanta Technical College,GA,Atlanta,Plumbing & Pipefitting,vseals@atlantatech.edu,https://atlantatech.edu/
Atlanta Technical College,GA,Atlanta,Welding,vseals@atlantatech.edu,https://atlantatech.edu/
Augusta Technical College,GA,Augusta,Construction,jermaine.whirl@augustatech.edu,www.augustatech.edu/
Augusta Technical College,GA,Augusta,HVAC,jermaine.whirl@augustatech.edu,www.augustatech.edu/
Augusta Technical College,GA,Augusta,Welding,jermaine.whirl@augustatech.edu,www.augustatech.edu/
Augusta Technical College,GA,Augusta,Diesel & Automotive Tech,jermaine.whirl@augustatech.edu,www.augustatech.edu/
Augusta Technical College,GA,Augusta,Electronics,jermaine.whirl@augustatech.edu,www.augustatech.edu/
Augusta Technical College,GA,Augusta,Woodworking & Carpentry,jermaine.whirl@augustatech.edu,www.augustatech.edu/
Columbus Technical College,GA,Columbus,Diesel & Automotive Tech,mtodd@columbustech.edu,www.columbustech.edu/
Columbus Technical College,GA,Columbus,HVAC,mtodd@columbustech.edu,www.columbustech.edu/
Columbus Technical College,GA,Columbus,Machine & Mechanical Systems,mtodd@columbustech.edu,www.columbustech.edu/
Columbus Technical College,GA,Columbus,Woodworking & Carpentry,mtodd@columbustech.edu,www.columbustech.edu/
Columbus Technical College,GA,Columbus,CAD/CAM Drafting,mtodd@columbustech.edu,www.columbustech.edu/
Columbus Technical College,GA,Columbus,Welding,mtodd@columbustech.edu,www.columbustech.edu/
Georgia Northwestern Technical College,GA,Rome,HVAC,hpopham@gntc.edu,www.gntc.edu/
Georgia Northwestern Technical College,GA,Rome,Diesel & Automotive Tech,hpopham@gntc.edu,www.gntc.edu/
Georgia Northwestern Technical College,GA,Rome,Construction,hpopham@gntc.edu,www.gntc.edu/
Georgia Northwestern Technical College,GA,Rome,CAD/CAM Drafting,hpopham@gntc.edu,www.gntc.edu/
Georgia Northwestern Technical College,GA,Rome,Welding,hpopham@gntc.edu,www.gntc.edu/
Southern Crescent Technical College,GA,Griffin,HVAC,—,www.sctech.edu/
Southern Crescent Technical College,GA,Griffin,Diesel & Automotive Tech,—,www.sctech.edu/
Southern Crescent Technical College,GA,Griffin,Machine & Mechanical Systems,—,www.sctech.edu/
Southern Crescent Technical College,GA,Griffin,Woodworking & Carpentry,—,www.sctech.edu/
Southern Crescent Technical College,GA,Griffin,Welding,—,www.sctech.edu/
Southern Crescent Technical College,GA,Griffin,Plumbing & Pipefitting,—,www.sctech.edu/
Southern Crescent Technical College,GA,Griffin,Electronics,—,www.sctech.edu/
Gwinnett Technical College,GA,Lawrenceville,HVAC,OfficeOfPresident@gwinnettech.edu,https://www.gwinnetttech.edu/
Gwinnett Technical College,GA,Lawrenceville,Diesel & Automotive Tech,OfficeOfPresident@gwinnettech.edu,https://www.gwinnetttech.edu/
Gwinnett Technical College,GA,Lawrenceville,Woodworking & Carpentry,OfficeOfPresident@gwinnettech.edu,https://www.gwinnetttech.edu/
Gwinnett Technical College,GA,Lawrenceville,CAD/CAM Drafting,OfficeOfPresident@gwinnettech.edu,https://www.gwinnetttech.edu/
Gwinnett Technical College,GA,Lawrenceville,Welding,OfficeOfPresident@gwinnettech.edu,https://www.gwinnetttech.edu/
Savannah Technical College,GA,Savannah,HVAC,president@savannahtech.edu,www.savannahtech.edu/
Savannah Technical College,GA,Savannah,Diesel & Automotive Tech,president@savannahtech.edu,www.savannahtech.edu/
Savannah Technical College,GA,Savannah,Construction,president@savannahtech.edu,www.savannahtech.edu/
Savannah Technical College,GA,Savannah,CAD/CAM Drafting,president@savannahtech.edu,www.savannahtech.edu/
Savannah Technical College,GA,Savannah,Welding,president@savannahtech.edu,www.savannahtech.edu/
South Georgia Technical College,GA,Americus,HVAC,jwatford@southgatech.edu,www.southgatech.edu/
South Georgia Technical College,GA,Americus,Diesel & Automotive Tech,jwatford@southgatech.edu,www.southgatech.edu/
South Georgia Technical College,GA,Americus,CAD/CAM Drafting,jwatford@southgatech.edu,www.southgatech.edu/
South Georgia Technical College,GA,Americus,Machine & Mechanical Systems,jwatford@southgatech.edu,www.southgatech.edu/
South Georgia Technical College,GA,Americus,Electronics,jwatford@southgatech.edu,www.southgatech.edu/
South Georgia Technical College,GA,Americus,Welding,jwatford@southgatech.edu,www.southgatech.edu/
Wesleyan College,GA,Macon,Diesel & Automotive Tech,—,https://www.wesleyancollege.edu/
Wesleyan College,GA,Macon,HVAC,—,https://www.wesleyancollege.edu/
Wesleyan College,GA,Macon,Plumbing & Pipefitting,—,https://www.wesleyancollege.edu/
Honolulu Community College,HI,Honolulu,Woodworking & Carpentry,karenlee@hawaii.edu,https://www.honolulu.hawaii.edu/
Honolulu Community College,HI,Honolulu,HVAC,karenlee@hawaii.edu,https://www.honolulu.hawaii.edu/
Honolulu Community College,HI,Honolulu,Welding,karenlee@hawaii.edu,https://www.honolulu.hawaii.edu/
Honolulu Community College,HI,Honolulu,Construction,karenlee@hawaii.edu,https://www.honolulu.hawaii.edu/
Kauai Community College,HI,Lihue,Diesel & Automotive Tech,—,https://www.kauai.hawaii.edu/
Kauai Community College,HI,Lihue,Woodworking & Carpentry,—,https://www.kauai.hawaii.edu/
Kauai Community College,HI,Lihue,Electronics,—,https://www.kauai.hawaii.edu/
Leeward Community College,HI,Pearl City,Diesel & Automotive Tech,carlospe@hawaii.edu,www.leeward.hawaii.edu/
University of Hawaii Maui College,HI,Kahului,Diesel & Automotive Tech,—,maui.hawaii.edu/
University of Hawaii Maui College,HI,Kahului,Construction,—,maui.hawaii.edu/
University of Hawaii Maui College,HI,Kahului,Electronics,—,maui.hawaii.edu/
Carrington College-Boise,ID,Boise,HVAC,—,https://carrington.edu/
College of Eastern Idaho,ID,Idaho Falls,CAD/CAM Drafting,lori.barber@cei.edu,www.cei.edu/
College of Eastern Idaho,ID,Idaho Falls,HVAC,lori.barber@cei.edu,www.cei.edu/
College of Eastern Idaho,ID,Idaho Falls,Welding,lori.barber@cei.edu,www.cei.edu/
Idaho State University,ID,Pocatello,Diesel & Automotive Tech,president@isu.edu,www.isu.edu/
Idaho State University,ID,Pocatello,CAD/CAM Drafting,president@isu.edu,www.isu.edu/
Idaho State University,ID,Pocatello,Machine & Mechanical Systems,president@isu.edu,www.isu.edu/
Idaho State University,ID,Pocatello,Welding,president@isu.edu,www.isu.edu/
Lewis-Clark State College,ID,Lewiston,Diesel & Automotive Tech,clpemberton@lcsc.edu,www.lcsc.edu/
Lewis-Clark State College,ID,Lewiston,Machine & Mechanical Systems,clpemberton@lcsc.edu,www.lcsc.edu/
Lewis-Clark State College,ID,Lewiston,HVAC,clpemberton@lcsc.edu,www.lcsc.edu/
Lewis-Clark State College,ID,Lewiston,Welding,clpemberton@lcsc.edu,www.lcsc.edu/
North Idaho College,ID,Coeur d'Alene,Diesel & Automotive Tech,Nick.Swayne@nic.edu,https://www.nic.edu/
North Idaho College,ID,Coeur d'Alene,HVAC,Nick.Swayne@nic.edu,https://www.nic.edu/
North Idaho College,ID,Coeur d'Alene,Machine & Mechanical Systems,Nick.Swayne@nic.edu,https://www.nic.edu/
North Idaho College,ID,Coeur d'Alene,Plumbing & Pipefitting,Nick.Swayne@nic.edu,https://www.nic.edu/
North Idaho College,ID,Coeur d'Alene,Welding,Nick.Swayne@nic.edu,https://www.nic.edu/
Brigham Young University-Idaho,ID,Rexburg,Diesel & Automotive Tech,Presidents-Office@byu.edu,www.byui.edu/
Brigham Young University-Idaho,ID,Rexburg,Construction,Presidents-Office@byu.edu,www.byui.edu/
Brigham Young University-Idaho,ID,Rexburg,Welding,Presidents-Office@byu.edu,www.byui.edu/
Southwestern Illinois College,IL,Belleville,Construction,—,https://www.swic.edu/
Southwestern Illinois College,IL,Belleville,HVAC,—,https://www.swic.edu/
Southwestern Illinois College,IL,Belleville,Plumbing & Pipefitting,—,https://www.swic.edu/
Southwestern Illinois College,IL,Belleville,Woodworking & Carpentry,—,https://www.swic.edu/
Southwestern Illinois College,IL,Belleville,Machine & Mechanical Systems,—,https://www.swic.edu/
Southwestern Illinois College,IL,Belleville,Welding,—,https://www.swic.edu/
Southwestern Illinois College,IL,Belleville,Electronics,—,https://www.swic.edu/
Black Hawk College,IL,Moline,HVAC,thomasj@bhc.edu,www.bhc.edu/
Black Hawk College,IL,Moline,CAD/CAM Drafting,thomasj@bhc.edu,www.bhc.edu/
Black Hawk College,IL,Moline,Welding,thomasj@bhc.edu,www.bhc.edu/
Carl Sandburg College,IL,Galesburg,Welding,president@sandburg.edu,www.sandburg.edu/
Carl Sandburg College,IL,Galesburg,Diesel & Automotive Tech,president@sandburg.edu,www.sandburg.edu/
City Colleges of Chicago-Kennedy-King College,IL,Chicago,Woodworking & Carpentry,kwebb8@ccc.edu​,www.ccc.edu/colleges/kennedy/pages/default.aspx
City Colleges of Chicago-Kennedy-King College,IL,Chicago,HVAC,kwebb8@ccc.edu​,www.ccc.edu/colleges/kennedy/pages/default.aspx
City Colleges of Chicago-Kennedy-King College,IL,Chicago,Plumbing & Pipefitting,kwebb8@ccc.edu​,www.ccc.edu/colleges/kennedy/pages/default.aspx
City Colleges of Chicago-Kennedy-King College,IL,Chicago,Diesel & Automotive Tech,kwebb8@ccc.edu​,www.ccc.edu/colleges/kennedy/pages/default.aspx
City Colleges of Chicago-Kennedy-King College,IL,Chicago,Welding,kwebb8@ccc.edu​,www.ccc.edu/colleges/kennedy/pages/default.aspx
City Colleges of Chicago-Olive-Harvey College,IL,Chicago,Diesel & Automotive Tech,khollingsworth@ccc.edu,www.ccc.edu/colleges/olive-harvey/Pages/default.aspx
City Colleges of Chicago-Harry S Truman College,IL,Chicago,CAD/CAM Drafting,​sljackson@ccc.edu​,www.ccc.edu/colleges/truman/Pages/default.aspx
City Colleges of Chicago-Harry S Truman College,IL,Chicago,Diesel & Automotive Tech,​sljackson@ccc.edu​,www.ccc.edu/colleges/truman/Pages/default.aspx
City Colleges of Chicago-Richard J Daley College,IL,Chicago,Welding,​pkorellis@ccc.edu​  ,ccc.edu/colleges/daley/pages/default.aspx
City Colleges of Chicago-Richard J Daley College,IL,Chicago,Machine & Mechanical Systems,​pkorellis@ccc.edu​  ,ccc.edu/colleges/daley/pages/default.aspx
City Colleges of Chicago-Richard J Daley College,IL,Chicago,CAD/CAM Drafting,​pkorellis@ccc.edu​  ,ccc.edu/colleges/daley/pages/default.aspx
Danville Area Community College,IL,Danville,Construction,rfetcher@dacc.edu,www.dacc.edu/
Danville Area Community College,IL,Danville,Plumbing & Pipefitting,rfetcher@dacc.edu,www.dacc.edu/
Danville Area Community College,IL,Danville,Woodworking & Carpentry,rfetcher@dacc.edu,www.dacc.edu/
College of DuPage,IL,Glen Ellyn,Diesel & Automotive Tech,officeofthepresident@cod.edu,www.cod.edu/
College of DuPage,IL,Glen Ellyn,Machine & Mechanical Systems,officeofthepresident@cod.edu,www.cod.edu/
College of DuPage,IL,Glen Ellyn,Welding,officeofthepresident@cod.edu,www.cod.edu/
College of DuPage,IL,Glen Ellyn,Electronics,officeofthepresident@cod.edu,www.cod.edu/
College of DuPage,IL,Glen Ellyn,CAD/CAM Drafting,officeofthepresident@cod.edu,www.cod.edu/
College of DuPage,IL,Glen Ellyn,HVAC,officeofthepresident@cod.edu,www.cod.edu/
Elgin Community College,IL,Elgin,Diesel & Automotive Tech,pheinrich@elgin.edu,www.elgin.edu/
Elgin Community College,IL,Elgin,Welding,pheinrich@elgin.edu,www.elgin.edu/
Elgin Community College,IL,Elgin,HVAC,pheinrich@elgin.edu,www.elgin.edu/
Elgin Community College,IL,Elgin,Machine & Mechanical Systems,pheinrich@elgin.edu,www.elgin.edu/
Highland Community College,IL,Freeport,Diesel & Automotive Tech,vbowhay@highlandcc.edu,www.highland.edu/
Highland Community College,IL,Freeport,HVAC,vbowhay@highlandcc.edu,www.highland.edu/
Highland Community College,IL,Freeport,Welding,vbowhay@highlandcc.edu,www.highland.edu/
Illinois Central College,IL,East Peoria,HVAC,sheila.quirk-bailey@icc.edu,icc.edu/
Illinois Central College,IL,East Peoria,Welding,sheila.quirk-bailey@icc.edu,icc.edu/
Illinois Central College,IL,East Peoria,Diesel & Automotive Tech,sheila.quirk-bailey@icc.edu,icc.edu/
Illinois Central College,IL,East Peoria,CAD/CAM Drafting,sheila.quirk-bailey@icc.edu,icc.edu/
Illinois Central College,IL,East Peoria,Construction,sheila.quirk-bailey@icc.edu,icc.edu/
Illinois Central College,IL,East Peoria,Machine & Mechanical Systems,sheila.quirk-bailey@icc.edu,icc.edu/
Illinois Valley Community College,IL,Oglesby,HVAC,Tracy_Morris@ivcc.edu,https://www.ivcc.edu/
Illinois Valley Community College,IL,Oglesby,Diesel & Automotive Tech,Tracy_Morris@ivcc.edu,https://www.ivcc.edu/
Illinois Valley Community College,IL,Oglesby,Machine & Mechanical Systems,Tracy_Morris@ivcc.edu,https://www.ivcc.edu/
Illinois Valley Community College,IL,Oglesby,CAD/CAM Drafting,Tracy_Morris@ivcc.edu,https://www.ivcc.edu/
Illinois Valley Community College,IL,Oglesby,Electronics,Tracy_Morris@ivcc.edu,https://www.ivcc.edu/
Illinois Valley Community College,IL,Oglesby,Welding,Tracy_Morris@ivcc.edu,https://www.ivcc.edu/
John A Logan College,IL,Carterville,Welding,kirk.overstreet@jalc.edu,https://www.jalc.edu/
John A Logan College,IL,Carterville,HVAC,kirk.overstreet@jalc.edu,https://www.jalc.edu/
John A Logan College,IL,Carterville,Electronics,kirk.overstreet@jalc.edu,https://www.jalc.edu/
John Wood Community College,IL,Quincy,CAD/CAM Drafting,jwelker@jwcc.edu,www.jwcc.edu/
John Wood Community College,IL,Quincy,Diesel & Automotive Tech,jwelker@jwcc.edu,www.jwcc.edu/
John Wood Community College,IL,Quincy,Machine & Mechanical Systems,jwelker@jwcc.edu,www.jwcc.edu/
John Wood Community College,IL,Quincy,Electronics,jwelker@jwcc.edu,www.jwcc.edu/
John Wood Community College,IL,Quincy,HVAC,jwelker@jwcc.edu,www.jwcc.edu/
John Wood Community College,IL,Quincy,Welding,jwelker@jwcc.edu,www.jwcc.edu/
Joliet Junior College,IL,Joliet,Welding,president@jjc.edu,www.jjc.edu/
Joliet Junior College,IL,Joliet,Diesel & Automotive Tech,president@jjc.edu,www.jjc.edu/
Joliet Junior College,IL,Joliet,Machine & Mechanical Systems,president@jjc.edu,www.jjc.edu/
Joliet Junior College,IL,Joliet,HVAC,president@jjc.edu,www.jjc.edu/
Joliet Junior College,IL,Joliet,Electronics,president@jjc.edu,www.jjc.edu/
Kankakee Community College,IL,Kankakee,Plumbing & Pipefitting,mboyd@kcc.edu,https://www.kcc.edu/
Kaskaskia College,IL,Centralia,Welding,crichardson@kaskaskia.edu,https://www.kaskaskia.edu/
Kaskaskia College,IL,Centralia,Diesel & Automotive Tech,crichardson@kaskaskia.edu,https://www.kaskaskia.edu/
Kaskaskia College,IL,Centralia,Woodworking & Carpentry,crichardson@kaskaskia.edu,https://www.kaskaskia.edu/
Kaskaskia College,IL,Centralia,HVAC,crichardson@kaskaskia.edu,https://www.kaskaskia.edu/
Kaskaskia College,IL,Centralia,CAD/CAM Drafting,crichardson@kaskaskia.edu,https://www.kaskaskia.edu/
Kaskaskia College,IL,Centralia,Construction,crichardson@kaskaskia.edu,https://www.kaskaskia.edu/
Kishwaukee College,IL,Malta,Diesel & Automotive Tech,lborowicz@kish.edu,www.kish.edu/
Kishwaukee College,IL,Malta,Machine & Mechanical Systems,lborowicz@kish.edu,www.kish.edu/
Kishwaukee College,IL,Malta,Welding,lborowicz@kish.edu,www.kish.edu/
College of Lake County,IL,Grayslake,Welding,president@clcillinois.edu,www.clcillinois.edu/
College of Lake County,IL,Grayslake,CAD/CAM Drafting,president@clcillinois.edu,www.clcillinois.edu/
College of Lake County,IL,Grayslake,Diesel & Automotive Tech,president@clcillinois.edu,www.clcillinois.edu/
College of Lake County,IL,Grayslake,Machine & Mechanical Systems,president@clcillinois.edu,www.clcillinois.edu/
College of Lake County,IL,Grayslake,HVAC,president@clcillinois.edu,www.clcillinois.edu/
Lake Land College,IL,Mattoon,Welding,officeofthepresident@lakelandcollege.edu,www.lakelandcollege.edu/
Lake Land College,IL,Mattoon,Electronics,officeofthepresident@lakelandcollege.edu,www.lakelandcollege.edu/
Lake Land College,IL,Mattoon,Machine & Mechanical Systems,officeofthepresident@lakelandcollege.edu,www.lakelandcollege.edu/
Lincoln Land Community College,IL,Springfield,Diesel & Automotive Tech,Charlotte.Warren@llcc.edu,www.llcc.edu/
Lincoln Land Community College,IL,Springfield,Construction,Charlotte.Warren@llcc.edu,www.llcc.edu/
Lincoln Land Community College,IL,Springfield,HVAC,Charlotte.Warren@llcc.edu,www.llcc.edu/
Lincoln Land Community College,IL,Springfield,Welding,Charlotte.Warren@llcc.edu,www.llcc.edu/
Lincoln College of Technology-Melrose Park,IL,Melrose Park,Welding,—,www.lincolntech.edu/campus/melrose-park-il
Lincoln College of Technology-Melrose Park,IL,Melrose Park,HVAC,—,www.lincolntech.edu/campus/melrose-park-il
Lincoln College of Technology-Melrose Park,IL,Melrose Park,Diesel & Automotive Tech,—,www.lincolntech.edu/campus/melrose-park-il
Lincoln College of Technology-Melrose Park,IL,Melrose Park,Electronics,—,www.lincolntech.edu/campus/melrose-park-il
McHenry County College,IL,Crystal Lake,Diesel & Automotive Tech,cgabbard@mchenry.edu,www.mchenry.edu/
McHenry County College,IL,Crystal Lake,Machine & Mechanical Systems,cgabbard@mchenry.edu,www.mchenry.edu/
McHenry County College,IL,Crystal Lake,Construction,cgabbard@mchenry.edu,www.mchenry.edu/
McHenry County College,IL,Crystal Lake,HVAC,cgabbard@mchenry.edu,www.mchenry.edu/
McHenry County College,IL,Crystal Lake,Welding,cgabbard@mchenry.edu,www.mchenry.edu/
Moraine Valley Community College,IL,Palos Hills,CAD/CAM Drafting,president@morainevalley.edu,www.morainevalley.edu/
Moraine Valley Community College,IL,Palos Hills,Diesel & Automotive Tech,president@morainevalley.edu,www.morainevalley.edu/
Moraine Valley Community College,IL,Palos Hills,HVAC,president@morainevalley.edu,www.morainevalley.edu/
Moraine Valley Community College,IL,Palos Hills,Electronics,president@morainevalley.edu,www.morainevalley.edu/
Moraine Valley Community College,IL,Palos Hills,Welding,president@morainevalley.edu,www.morainevalley.edu/
Moraine Valley Community College,IL,Palos Hills,Machine & Mechanical Systems,president@morainevalley.edu,www.morainevalley.edu/
Morrison Institute of Technology,IL,Morrison,Diesel & Automotive Tech,cdscott@morrisontech.edu,www.morrisontech.edu/
Morrison Institute of Technology,IL,Morrison,CAD/CAM Drafting,cdscott@morrisontech.edu,www.morrisontech.edu/
Morton College,IL,Cicero,Diesel & Automotive Tech,Keith.McLaughlin@morton.edu,www.morton.edu/
Morton College,IL,Cicero,CAD/CAM Drafting,Keith.McLaughlin@morton.edu,www.morton.edu/
Morton College,IL,Cicero,HVAC,Keith.McLaughlin@morton.edu,www.morton.edu/
Morton College,IL,Cicero,Welding,Keith.McLaughlin@morton.edu,www.morton.edu/
Oakton College,IL,Des Plaines,Diesel & Automotive Tech,joismith@oakton.edu,www.oakton.edu/
Oakton College,IL,Des Plaines,CAD/CAM Drafting,joismith@oakton.edu,www.oakton.edu/
Oakton College,IL,Des Plaines,Electronics,joismith@oakton.edu,www.oakton.edu/
Oakton College,IL,Des Plaines,Welding,joismith@oakton.edu,www.oakton.edu/
Parkland College,IL,Champaign,Diesel & Automotive Tech,plau@parkland.edu,https://www.parkland.edu/
Parkland College,IL,Champaign,Electronics,plau@parkland.edu,https://www.parkland.edu/
Parkland College,IL,Champaign,HVAC,plau@parkland.edu,https://www.parkland.edu/
Parkland College,IL,Champaign,Machine & Mechanical Systems,plau@parkland.edu,https://www.parkland.edu/
Parkland College,IL,Champaign,Construction,plau@parkland.edu,https://www.parkland.edu/
Prairie State College,IL,Chicago Heights,Diesel & Automotive Tech,manthony@prairiestate.edu,prairiestate.edu/
Prairie State College,IL,Chicago Heights,CAD/CAM Drafting,manthony@prairiestate.edu,prairiestate.edu/
Prairie State College,IL,Chicago Heights,HVAC,manthony@prairiestate.edu,prairiestate.edu/
Prairie State College,IL,Chicago Heights,Welding,manthony@prairiestate.edu,prairiestate.edu/
Rend Lake College,IL,Ina,Diesel & Automotive Tech,ragland@rlc.edu,www.rlc.edu/
Rend Lake College,IL,Ina,HVAC,ragland@rlc.edu,www.rlc.edu/
Rend Lake College,IL,Ina,Welding,ragland@rlc.edu,www.rlc.edu/
Richland Community College,IL,Decatur,Diesel & Automotive Tech,cvaldez@richland.edu,https://www.richland.edu/
Richland Community College,IL,Decatur,HVAC,cvaldez@richland.edu,https://www.richland.edu/
Richland Community College,IL,Decatur,Welding,cvaldez@richland.edu,https://www.richland.edu/
Rock Valley College,IL,Rockford,Welding,H.Spearman@RockValleyCollege.edu,www.rockvalleycollege.edu/
Rock Valley College,IL,Rockford,Construction,H.Spearman@RockValleyCollege.edu,www.rockvalleycollege.edu/
Rock Valley College,IL,Rockford,Machine & Mechanical Systems,H.Spearman@RockValleyCollege.edu,www.rockvalleycollege.edu/
Rock Valley College,IL,Rockford,Electronics,H.Spearman@RockValleyCollege.edu,www.rockvalleycollege.edu/
Rock Valley College,IL,Rockford,Diesel & Automotive Tech,H.Spearman@RockValleyCollege.edu,www.rockvalleycollege.edu/
Sauk Valley Community College,IL,Dixon,HVAC,david.m.hellmich@svcc.edu,www.svcc.edu/
Sauk Valley Community College,IL,Dixon,Machine & Mechanical Systems,david.m.hellmich@svcc.edu,www.svcc.edu/
Sauk Valley Community College,IL,Dixon,Welding,david.m.hellmich@svcc.edu,www.svcc.edu/
Shawnee Community College,IL,Ullin,Diesel & Automotive Tech,timt@shawneecc.edu,https://shawneecc.edu/
Shawnee Community College,IL,Ullin,HVAC,timt@shawneecc.edu,https://shawneecc.edu/
Shawnee Community College,IL,Ullin,Welding,timt@shawneecc.edu,https://shawneecc.edu/
Shawnee Community College,IL,Ullin,Construction,timt@shawneecc.edu,https://shawneecc.edu/
Southeastern Illinois College,IL,Harrisburg,Diesel & Automotive Tech,karen.weiss@sic.edu,www.sic.edu/
Southeastern Illinois College,IL,Harrisburg,Welding,karen.weiss@sic.edu,www.sic.edu/
Spoon River College,IL,Canton,Diesel & Automotive Tech,—,www.src.edu/
Spoon River College,IL,Canton,Welding,—,www.src.edu/
Taylor Business Institute,IL,Chicago,Electronics,—,www.tbiil.edu/
Triton College,IL,River Grove,HVAC,maryritamoore@triton.edu,www.triton.edu/
Triton College,IL,River Grove,Diesel & Automotive Tech,maryritamoore@triton.edu,www.triton.edu/
Ivy Tech Community College,IN,Indianapolis,Construction,martypollio@ivytech.edu,www.ivytech.edu/
Ivy Tech Community College,IN,Indianapolis,Machine & Mechanical Systems,martypollio@ivytech.edu,www.ivytech.edu/
Ivy Tech Community College,IN,Indianapolis,HVAC,martypollio@ivytech.edu,www.ivytech.edu/
Ivy Tech Community College,IN,Indianapolis,Electronics,martypollio@ivytech.edu,www.ivytech.edu/
Ivy Tech Community College,IN,Indianapolis,Diesel & Automotive Tech,martypollio@ivytech.edu,www.ivytech.edu/
Lincoln College of Technology-Indianapolis,IN,Indianapolis,HVAC,—,www.lincolntech.edu/campus/indianapolis-in
Lincoln College of Technology-Indianapolis,IN,Indianapolis,Welding,—,www.lincolntech.edu/campus/indianapolis-in
Lincoln College of Technology-Indianapolis,IN,Indianapolis,Diesel & Automotive Tech,—,www.lincolntech.edu/campus/indianapolis-in
Lincoln College of Technology-Indianapolis,IN,Indianapolis,Electronics,—,www.lincolntech.edu/campus/indianapolis-in
Vincennes University,IN,Vincennes,Diesel & Automotive Tech,president@vinu.edu,https://www.vinu.edu/
Vincennes University,IN,Vincennes,Construction,president@vinu.edu,https://www.vinu.edu/
Vincennes University,IN,Vincennes,Machine & Mechanical Systems,president@vinu.edu,https://www.vinu.edu/
Vincennes University,IN,Vincennes,CAD/CAM Drafting,president@vinu.edu,https://www.vinu.edu/
Vincennes University,IN,Vincennes,Electronics,president@vinu.edu,https://www.vinu.edu/
Des Moines Area Community College,IA,Ankeny,Machine & Mechanical Systems,rjdenson@dmacc.edu,https://www.dmacc.edu/
Des Moines Area Community College,IA,Ankeny,Diesel & Automotive Tech,rjdenson@dmacc.edu,https://www.dmacc.edu/
Des Moines Area Community College,IA,Ankeny,Construction,rjdenson@dmacc.edu,https://www.dmacc.edu/
Des Moines Area Community College,IA,Ankeny,Electronics,rjdenson@dmacc.edu,https://www.dmacc.edu/
Des Moines Area Community College,IA,Ankeny,HVAC,rjdenson@dmacc.edu,https://www.dmacc.edu/
Ellsworth Community College,IA,Iowa Falls,Welding,Barb.Klein@iavalley.edu,https://ecc.iavalley.edu/
Eastern Iowa Community College District,IA,Davenport,Welding,brenfro@eicc.edu,www.eicc.edu/
Eastern Iowa Community College District,IA,Davenport,HVAC,brenfro@eicc.edu,www.eicc.edu/
Eastern Iowa Community College District,IA,Davenport,Construction,brenfro@eicc.edu,www.eicc.edu/
Eastern Iowa Community College District,IA,Davenport,Diesel & Automotive Tech,brenfro@eicc.edu,www.eicc.edu/
Hawkeye Community College,IA,Waterloo,Machine & Mechanical Systems,aaron.sauerbrei@hawkeyecollege.edu,www.hawkeyecollege.edu/
Hawkeye Community College,IA,Waterloo,Welding,aaron.sauerbrei@hawkeyecollege.edu,www.hawkeyecollege.edu/
